iter	Passed	Remaining
0	0	33
1	0	19
2	0	15
3	0	12
4	0	11
5	0	10
6	0	9
7	0	8
8	0	7
9	0	7
10	0	7
11	0	6
12	0	6
13	0	5
14	0	5
15	1	5
16	1	5
17	1	4
18	1	4
19	1	4
20	1	4
21	1	4
22	1	4
23	1	4
24	1	3
25	1	3
26	1	3
27	1	3
28	1	3
29	1	3
30	1	3
31	1	4
32	2	4
33	2	4
34	2	4
35	2	3
36	2	3
37	2	3
38	2	3
39	2	3
40	2	3
41	2	3
42	2	3
43	2	3
44	2	3
45	2	3
46	3	3
47	3	3
48	3	3
49	3	3
50	3	3
51	3	3
52	3	3
53	3	3
54	3	2
55	3	2
56	3	2
57	3	2
58	3	2
59	3	2
60	3	2
61	4	2
62	4	2
63	4	2
64	4	2
65	4	2
66	4	2
67	4	2
68	4	1
69	4	1
70	4	1
71	4	1
72	4	1
73	4	1
74	4	1
75	4	1
76	4	1
77	4	1
78	5	1
79	5	1
80	5	1
81	5	1
82	5	1
83	5	0
84	5	0
85	5	0
86	5	0
87	5	0
88	5	0
89	5	0
90	5	0
91	5	0
92	5	0
93	5	0
94	5	0
95	6	0
96	6	0
97	6	0
98	6	0
99	6	0
